Spanish,English
que,that
de,of
no,No
a,to
la,the
el,he
ser,be
y,and
en,in
un,a
por,by
qué,that
me,I
un,a
te,tea
lo,it
se,HE
con,with
para,for
mi,my
estar,be
si,Yeah
bien,good
pero,but
yo,I
eso,that
la,the
sí,Yeah
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
esto,this
ya,already
todo,all
esta,this
ir,go
muy,very
haber,to have
ahora,now
algo,something
estar,be
tener,have
nos,us
tú,you
nada,nothing
cuando,when
haber,to have
este,this
estar,be
así,So
poder,can
querer,want
sólo,only
ser,be
tener,have
gracias,thank you
o,either
bueno,Well
ser ir,be going
ser,be
ser,be
todo,all
ser,be
ser,be
vez,time
tener,have
creer,believe
ella,she
haber,to have
ir,go
poder,can
saber,know
hola,hello
su,his
porque,because
dios,God
quién,who
nunca,never
dónde,where
querer,want
casa casar,Casar house
favor,favor
ese,that
dos,two
tanto,so much
señor,Sir
tiempo,time
verdad,TRUE
estar,be
